precio,mes,año
0.45,ENERO,1994
0.45,FEBRERO,1994
0.45,MARZO,1994
0.45,ABRIL,1994
0.45,MAYO,1994
0.45,JUNIO,1994
0.45,JULIO,1994
0.45,AGOSTO,1994
0.45,SEPTIEMBRE,1994
0.45,OCTUBRE,1994
0.45,NOVIEMBRE,1994
0.45,DICIEMBRE,1994
0.45,ENERO,1995
0.45,FEBRERO,1995
0.45,MARZO,1995
0.45,ABRIL,1995
0.45,MAYO,1995
0.45,JUNIO,1995
0.45,JULIO,1995
0.45,AGOSTO,1995
0.45,SEPTIEMBRE,1995
0.45,OCTUBRE,1995
0.45,NOVIEMBRE,1995
0.45,DICIEMBRE,1995
0.45,ENERO,1996
0.45,FEBRERO,1996
0.45,MARZO,1996
0.45,ABRIL,1996
0.45,MAYO,1996
0.45,JUNIO,1996
0.45,JULIO,1996
0.45,AGOSTO,1996
0.45,SEPTIEMBRE,1996
0.5,OCTUBRE,1996
0.5,NOVIEMBRE,1996
0.5,DICIEMBRE,1996
0.5,ENERO,1997
0.5,FEBRERO,1997
0.5,MARZO,1997
0.5,ABRIL,1997
0.5,MAYO,1997
0.5,JUNIO,1997
0.5,JULIO,1997
0.5,AGOSTO,1997
0.5,SEPTIEMBRE,1997
0.5,OCTUBRE,1997
0.5,NOVIEMBRE,1997
0.5,DICIEMBRE,1997
0.5,ENERO,1998
0.5,FEBRERO,1998
0.5,MARZO,1998
0.5,ABRIL,1998
0.5,MAYO,1998
0.5,JUNIO,1998
0.5,JULIO,1998
0.5,AGOSTO,1998
0.5,SEPTIEMBRE,1998
0.5,OCTUBRE,1998
0.5,NOVIEMBRE,1998
0.5,DICIEMBRE,1998
0.5,ENERO,1999
0.5,FEBRERO,1999
0.5,MARZO,1999
0.5,ABRIL,1999
0.6,MAYO,1999
0.6,JUNIO,1999
0.6,JULIO,1999
0.6,AGOSTO,1999
0.6,SEPTIEMBRE,1999
0.6,OCTUBRE,1999
0.6,NOVIEMBRE,1999
0.6,DICIEMBRE,1999
0.6,ENERO,2000
0.6,FEBRERO,2000
0.6,MARZO,2000
0.6,ABRIL,2000
0.6,MAYO,2000
0.6,JUNIO,2000
0.6,JULIO,2000
0.6,AGOSTO,2000
0.6,SEPTIEMBRE,2000
0.6,OCTUBRE,2000
0.6,NOVIEMBRE,2000
0.6,DICIEMBRE,2000
0.6,ENERO,2001
0.6,FEBRERO,2001
0.7,MARZO,2001
0.7,ABRIL,2001
0.7,MAYO,2001
0.7,JUNIO,2001
0.7,JULIO,2001
0.7,AGOSTO,2001
0.7,SEPTIEMBRE,2001
0.7,OCTUBRE,2001
0.7,NOVIEMBRE,2001
0.7,DICIEMBRE,2001
0.7,ENERO,2002
0.7,FEBRERO,2002
0.7,MARZO,2002
0.7,ABRIL,2002
0.7,MAYO,2002
0.7,JUNIO,2002
0.7,JULIO,2002
0.7,AGOSTO,2002
0.7,SEPTIEMBRE,2002
0.7,OCTUBRE,2002
0.7,NOVIEMBRE,2002
