id_cliente;tx_zona;tx_reclamo;fc_reclamo
AFG-001830;región D;Facturación;2017-01-01
AFG-000966;región F;Falta Servicio;2017-01-01
AFG-000330;región C;Falta Servicio;2017-01-01
AFG-003115;región A;Falta Servicio;2017-01-02
AFG-002968;región B;Facturación;2017-01-02
AFG-001156;región F;Falta Servicio;2017-01-02
AFG-000192;región B;Facturación;2017-01-03
AFG-000166;región A;Actualiza datos;2017-01-03
AFG-000047;región D;Facturación;2017-01-03
AFG-002915;región F;Falta Servicio;2017-01-04
AFG-002730;región E;Instalación pendiente;2017-01-04
AFG-001008;región A;Actualiza datos;2017-01-04
AFG-002875;región A;Cambio de Producto;2017-01-05
AFG-001161;región F;Facturación;2017-01-05
AFG-000195;región D;Falta Servicio;2017-01-05
AFG-001891;región A;Falta Servicio;2017-06-01
AFG-001804;región C;Facturación;2017-01-06
AFG-000164;región F;Facturación;2017-01-06
AFG-003161;región C;Actualiza datos;2017-01-07
AFG-002377;región B;Facturación;2017-07-01
AFG-000155;región F;Instalación pendiente;2017-01-07
AFG-002983;región F;Facturación;2017-01-08
AFG-001434;región E;Falta Servicio;2017-01-08
AFG-000576;región C;No reconoce producto;2017-01-08
AFG-001364;región F;Facturación;2017-01-09
AFG-000908;región A;Facturación;2017-01-09
AFG-000800;región B;Falta Servicio;2017-01-09
AFG-002266;región B;Instalación pendiente;2017-10-01
AFG-001727;región C;Actualiza datos;2017-01-10
AFG-000089;región A;Cambio de Producto;2017-01-10
AFG-002705;región F;Facturación;2017-01-11
AFG-001251;región A;Instalación pendiente;2017-01-11
AFG-000775;región B;Facturación;2017-01-11
AFG-002015;región D;Facturación;2017-12-01
AFG-001789;región A;Facturación;2017-01-12
AFG-001474;región B;Cambio de Producto;2017-01-12
AFG-001793;región B;Falta Servicio;2017-01-13
AFG-001348;región C;Falta Servicio;2017-01-13
AFG-001176;región A;Falta Servicio;2017-01-13
AFG-002245;región E;Facturación;2017-01-14
AFG-001676;región D;No reconoce producto;2017-01-14
AFG-000948;región F;Falta Servicio;2017-01-14
AFG-002268;región F;Actualiza datos;2017-01-15
AFG-001860;región A;Facturación;2017-01-15
AFG-001200;región E;Actualiza datos;2017-01-15
AFG-001906;región A;Facturación;2017-01-16
AFG-000730;región E;Instalación pendiente;2017-01-16
AFG-000662;región D;Facturación;2017-01-16
AFG-002871;región B;Cambio de Producto;2017-01-17
AFG-001265;región C;Facturación;2017-01-17
AFG-000475;región E;Cambio de Producto;2017-01-17
AFG-002842;región C;Facturación;2017-01-18
AFG-001066;región E;Facturación;2017-01-18
AFG-000274;región F;Falta Servicio;2017-01-18
AFG-002050;región B;Falta Servicio;2017-01-19
AFG-001885;región C;No reconoce producto;2017-01-19
AFG-000043;región E;Facturación;2017-01-19
AFG-001077;región B;Falta Servicio;2017-01-20
AFG-000944;región C;Facturación;2017-01-20
AFG-000302;región D;Facturación;2017-01-20
AFG-002600;región E;Falta Servicio;2017-01-21
AFG-002174;región D;Facturación;2017-01-21
AFG-000568;región F;Cambio de Producto;2017-01-21
AFG-001855;región E;Instalación pendiente;2017-01-22
AFG-000253;región F;Facturación;2017-01-22
AFG-000197;región D;Actualiza datos;2017-01-22
AFG-002802;región B;Falta Servicio;2017-01-23
AFG-001674;región C;Falta Servicio;2017-01-23
AFG-000013;región F;Facturación;2017-01-23
AFG-003060;región F;Facturación;2017-01-24
AFG-001646;región A;No reconoce producto;2017-01-24
AFG-001365;región E;Facturación;2017-01-24
AFG-002733;región D;Facturación;2017-01-25
AFG-002166;región C;Actualiza datos;2017-01-25
AFG-002028;región F;Falta Servicio;2017-01-25
AFG-002458;región C;No reconoce producto;2017-01-26
AFG-000897;región F;No reconoce producto;2017-01-26
AFG-000284;región A;Facturación;2017-01-26
AFG-003222;región C;Facturación;2017-01-27
AFG-002278;región A;Falta Servicio;2017-01-27
AFG-001711;región B;Facturación;2017-01-27
AFG-003063;región F;Facturación;2017-01-28
AFG-002400;región B;Facturación;2017-01-28
AFG-000750;región E;Facturación;2017-01-28
AFG-002296;región C;Falta Servicio;2017-01-29
AFG-001237;región D;Facturación;2017-01-29
AFG-000471;región B;Facturación;2017-01-29
AFG-002945;región D;Falta Servicio;2017-01-30
AFG-001901;región F;Facturación;2017-01-30
AFG-000466;región E;No reconoce producto;2017-01-30
AFG-002563;región D;Cambio de Producto;2017-01-31
AFG-001129;región C;Falta Servicio;2017-01-31
AFG-000072;región F;Falta Servicio;2017-01-31
AFG-001862;región C;Falta Servicio;2017-02-01
AFG-000955;región D;Falta Servicio;2017-02-01
AFG-000356;región B;Falta Servicio;2017-02-01
AFG-001298;región A;Actualiza datos;2017-02-02
AFG-000969;región F;No reconoce producto;2017-02-02
AFG-000689;región C;No reconoce producto;2017-02-02
AFG-003288;región B;Actualiza datos;2017-02-03
AFG-002017;región D;Actualiza datos;2017-03-02
AFG-000158;región C;Facturación;2017-02-03
AFG-002395;región A;Falta Servicio;2017-04-02
AFG-000062;región F;Falta Servicio;2017-02-04
AFG-000010;región C;Facturación;2017-02-04
AFG-003156;región B;Falta Servicio;2017-02-05
AFG-001563;región C;Facturación;2017-02-05
AFG-001527;región D;Instalación pendiente;2017-02-05
AFG-001169;región E;Facturación;2017-02-06
AFG-000617;región B;Falta Servicio;2017-02-06
AFG-000191;región F;Facturación;2017-02-06
AFG-001956;región E;Cambio de Producto;2017-07-02
AFG-001461;región B;Falta Servicio;2017-02-07
AFG-000405;región A;Instalación pendiente;2017-02-07
AFG-002435;región E;Falta Servicio;2017-08-02
AFG-000309;región F;Facturación;2017-02-08
AFG-000109;región B;Facturación;2017-02-08
AFG-002576;región D;Facturación;2017-09-02
AFG-001769;región F;Falta Servicio;2017-02-09
AFG-001030;región A;Falta Servicio;2017-02-09
AFG-002741;región A;Instalación pendiente;2017-02-10
AFG-001493;región B;No reconoce producto;2017-02-10
AFG-000953;región E;Instalación pendiente;2017-02-10
AFG-002447;región A;Actualiza datos;2017-11-02
AFG-002403;región B;Actualiza datos;2017-11-02
AFG-000684;región D;Actualiza datos;2017-02-11
AFG-001378;región C;Facturación;2017-02-12
AFG-001312;región B;Falta Servicio;2017-02-12
AFG-000433;región D;Falta Servicio;2017-02-12
AFG-002994;región D;Facturación;2017-02-13
AFG-001326;región E;Falta Servicio;2017-02-13
AFG-001094;región C;Actualiza datos;2017-02-13
AFG-003150;región D;Falta Servicio;2017-02-14
AFG-000743;región E;Instalación pendiente;2017-02-14
AFG-000162;región A;Facturación;2017-02-14
AFG-002990;región B;Falta Servicio;2017-02-15
AFG-001755;región C;Falta Servicio;2017-02-15
AFG-000857;región A;Actualiza datos;2017-02-15
AFG-002513;región F;Falta Servicio;2017-02-16
AFG-001886;región A;Falta Servicio;2017-02-16
AFG-000541;región B;Facturación;2017-02-16
AFG-000392;región F;Facturación;2017-02-17
AFG-000229;región E;Facturación;2017-02-17
AFG-000039;región C;Facturación;2017-02-17
AFG-003266;región B;Facturación;2017-02-18
AFG-002012;región D;Instalación pendiente;2017-02-18
