id_cliente;tx_zona;tx_reclamo;fc_reclamo
AFG-001830;región D;Facturación;1/1/17
AFG-000966;región F;Falta Servicio;1/1/17
AFG-000330;región C;Falta Servicio;1 de enero de 2017
AFG-003115;región A;Falta Servicio;2/1/2017
AFG-002968;región B;Facturación;2/1/2017
AFG-001156;región F;Falta Servicio;2/1/17
AFG-000192;región B;Facturación;3 de enero de 2017
AFG-000166;región A;Actualiza datos;3 de enero de 2017
AFG-000047;región D;Facturación;3 de enero de 2017
AFG-002915;región F;Falta Servicio;4/1/2017
AFG-002730;región E;Instalación pendiente;4-1-2017
AFG-001008;región A;Actualiza datos;4/1/17
AFG-002875;región A;Cambio de Producto;5/1/2017
AFG-001161;región F;Facturación;5/1/17
AFG-000195;región D;Falta Servicio;5 de enero de 2017
AFG-001891;región A;Falta Servicio;2017-6-1
AFG-001804;región C;Facturación;6/1/17
AFG-000164;región F;Facturación;6 de enero de 2017
AFG-003161;región C;Actualiza datos;7/1/2017
AFG-002377;región B;Facturación;2017-7-1
AFG-000155;región F;Instalación pendiente;7 de enero de 2017
AFG-002983;región F;Facturación;8/1/2017
AFG-001434;región E;Falta Servicio;8/1/17
AFG-000576;región C;No reconoce producto;8 de enero de 2017
AFG-001364;región F;Facturación;9/1/17
AFG-000908;región A;Facturación;9 de enero de 2017
AFG-000800;región B;Falta Servicio;9 de enero de 2017
AFG-002266;región B;Instalación pendiente;2017-10-1
AFG-001727;región C;Actualiza datos;10/1/17
AFG-000089;región A;Cambio de Producto;10 de enero de 2017
AFG-002705;región F;Facturación;11-1-2017
AFG-001251;región A;Instalación pendiente;11/1/17
AFG-000775;región B;Facturación;11 de enero de 2017
AFG-002015;región D;Facturación;2017-12-1
AFG-001789;región A;Facturación;12/1/17
AFG-001474;región B;Cambio de Producto;12/1/17
AFG-001793;región B;Falta Servicio;13/1/17
AFG-001348;región C;Falta Servicio;13/1/17
AFG-001176;región A;Falta Servicio;13/1/17
AFG-002245;región E;Facturación;2017-14-1
AFG-001676;región D;No reconoce producto;14/1/17
AFG-000948;región F;Falta Servicio;14/1/17
AFG-002268;región F;Actualiza datos;2017-15-1
AFG-001860;región A;Facturación;15/1/17
AFG-001200;región E;Actualiza datos;15/1/17
AFG-001906;región A;Facturación;2017-16-1
AFG-000730;región E;Instalación pendiente;16 de enero de 2017
AFG-000662;región D;Facturación;16 de enero de 2017
AFG-002871;región B;Cambio de Producto;17/1/2017
AFG-001265;región C;Facturación;17/1/17
AFG-000475;región E;Cambio de Producto;17 de enero de 2017
AFG-002842;región C;Facturación;18/1/2017
AFG-001066;región E;Facturación;18/1/17
AFG-000274;región F;Falta Servicio;18 de enero de 2017
AFG-002050;región B;Falta Servicio;2017-19-1
AFG-001885;región C;No reconoce producto;2017-19-1
AFG-000043;región E;Facturación;19 de enero de 2017
AFG-001077;región B;Falta Servicio;20/1/17
AFG-000944;región C;Facturación;20/1/17
AFG-000302;región D;Facturación;20 de enero de 2017
AFG-002600;región E;Falta Servicio;2017-21-1
AFG-002174;región D;Facturación;2017-21-1
AFG-000568;región F;Cambio de Producto;21 de enero de 2017
AFG-001855;región E;Instalación pendiente;22/1/17
AFG-000253;región F;Facturación;22 de enero de 2017
AFG-000197;región D;Actualiza datos;22 de enero de 2017
AFG-002802;región B;Falta Servicio;23/1/2017
AFG-001674;región C;Falta Servicio;23/1/17
AFG-000013;región F;Facturación;23 de enero de 2017
AFG-003060;región F;Facturación;24/1/2017
AFG-001646;región A;No reconoce producto;24/1/17
AFG-001365;región E;Facturación;24/1/17
AFG-002733;región D;Facturación;25-1-2017
AFG-002166;región C;Actualiza datos;2017-25-1
AFG-002028;región F;Falta Servicio;2017-25-1
AFG-002458;región C;No reconoce producto;2017-26-1
AFG-000897;región F;No reconoce producto;26 de enero de 2017
AFG-000284;región A;Facturación;26 de enero de 2017
AFG-003222;región C;Facturación;27/1/2017
AFG-002278;región A;Falta Servicio;2017-27-1
AFG-001711;región B;Facturación;27/1/17
AFG-003063;región F;Facturación;28/1/2017
AFG-002400;región B;Facturación;2017-28-1
AFG-000750;región E;Facturación;28 de enero de 2017
AFG-002296;región C;Falta Servicio;2017-29-1
AFG-001237;región D;Facturación;29/1/17
AFG-000471;región B;Facturación;29 de enero de 2017
AFG-002945;región D;Falta Servicio;30/1/2017
AFG-001901;región F;Facturación;2017-30-1
AFG-000466;región E;No reconoce producto;30 de enero de 2017
AFG-002563;región D;Cambio de Producto;2017-31-1
AFG-001129;región C;Falta Servicio;31/1/17
AFG-000072;región F;Falta Servicio;31 de enero de 2017
AFG-001862;región C;Falta Servicio;1/2/17
AFG-000955;región D;Falta Servicio;1/2/17
AFG-000356;región B;Falta Servicio;1 de febrero de 2017
AFG-001298;región A;Actualiza datos;2/2/17
AFG-000969;región F;No reconoce producto;2/2/17
AFG-000689;región C;No reconoce producto;2 de febrero de 2017
AFG-003288;región B;Actualiza datos;3/2/2017
AFG-002017;región D;Actualiza datos;2017-3-2
AFG-000158;región C;Facturación;3 de febrero de 2017
AFG-002395;región A;Falta Servicio;2017-4-2
AFG-000062;región F;Falta Servicio;4 de febrero de 2017
AFG-000010;región C;Facturación;4 de febrero de 2017
AFG-003156;región B;Falta Servicio;5/2/2017
AFG-001563;región C;Facturación;5/2/17
AFG-001527;región D;Instalación pendiente;5/2/17
AFG-001169;región E;Facturación;6/2/17
AFG-000617;región B;Falta Servicio;6 de febrero de 2017
AFG-000191;región F;Facturación;6 de febrero de 2017
AFG-001956;región E;Cambio de Producto;2017-7-2
AFG-001461;región B;Falta Servicio;7/2/17
AFG-000405;región A;Instalación pendiente;7 de febrero de 2017
AFG-002435;región E;Falta Servicio;2017-8-2
AFG-000309;región F;Facturación;8 de febrero de 2017
AFG-000109;región B;Facturación;8 de febrero de 2017
AFG-002576;región D;Facturación;2017-9-2
AFG-001769;región F;Falta Servicio;9/2/17
AFG-001030;región A;Falta Servicio;9/2/17
AFG-002741;región A;Instalación pendiente;10-2-2017
AFG-001493;región B;No reconoce producto;10/2/17
AFG-000953;región E;Instalación pendiente;10/2/17
AFG-002447;región A;Actualiza datos;2017-11-2
AFG-002403;región B;Actualiza datos;2017-11-2
AFG-000684;región D;Actualiza datos;11 de febrero de 2017
AFG-001378;región C;Facturación;12/2/17
AFG-001312;región B;Falta Servicio;12/2/17
AFG-000433;región D;Falta Servicio;12 de febrero de 2017
AFG-002994;región D;Facturación;13/2/2017
AFG-001326;región E;Falta Servicio;13/2/17
AFG-001094;región C;Actualiza datos;13/2/17
AFG-003150;región D;Falta Servicio;14/2/2017
AFG-000743;región E;Instalación pendiente;14 de febrero de 2017
AFG-000162;región A;Facturación;14 de febrero de 2017
AFG-002990;región B;Falta Servicio;15/2/2017
AFG-001755;región C;Falta Servicio;15/2/17
AFG-000857;región A;Actualiza datos;15 de febrero de 2017
AFG-002513;región F;Falta Servicio;2017-16-2
AFG-001886;región A;Falta Servicio;2017-16-2
AFG-000541;región B;Facturación;16 de febrero de 2017
AFG-000392;región F;Facturación;17 de febrero de 2017
AFG-000229;región E;Facturación;17 de febrero de 2017
AFG-000039;región C;Facturación;17 de febrero de 2017
AFG-003266;región B;Facturación;18/2/2017
AFG-002012;región D;Instalación pendiente;2017-18-2
AFG-000812;región A;Facturación;18 de febrero de 2017
AFG-001866;región B;No reconoce producto;19/2/17
AFG-000872;región E;Facturación;19 de febrero de 2017
AFG-000194;región D;Falta Servicio;19 de febrero de 2017
AFG-002953;región D;Falta Servicio;20/2/2017
AFG-002480;región E;Falta Servicio;2017-20-2
AFG-001839;región F;Instalación pendiente;20/2/17
AFG-003180;región E;Falta Servicio;21/2/2017
AFG-003042;región D;No reconoce producto;21/2/2017
AFG-001555;región C;Falta Servicio;21/2/17
AFG-002841;región B;Instalación pendiente;22/2/2017
AFG-002185;región C;Facturación;2017-22-2
AFG-000834;región F;Cambio de Producto;22 de febrero de 2017
AFG-003205;región A;Facturación;23/2/2017
AFG-001218;región B;Facturación;23/2/17
AFG-000622;región D;Cambio de Producto;23 de febrero de 2017
AFG-001946;región A;Falta Servicio;2017-24-2
AFG-001664;región F;Actualiza datos;24/2/17
AFG-001337;región E;Falta Servicio;24/2/17
AFG-002769;región B;Facturación;25/2/2017
AFG-002291;región A;Actualiza datos;2017-25-2
AFG-000265;región C;Facturación;25 de febrero de 2017
AFG-002057;región C;Falta Servicio;2017-26-2
AFG-001916;región B;No reconoce producto;2017-26-2
AFG-000461;región D;Facturación;26 de febrero de 2017
AFG-002401;región B;Facturación;2017-27-2
AFG-002363;región D;Falta Servicio;2017-27-2
