Inception,2010,Christopher Nolan,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page",Action
Into the Wild,2007,Sean Penn,"Emile Hirsch,Marcia Gay Harden,William Hurt",Drama
Rounders,1998,John Dahl,"Matt Damon,Edward Norton,Paul Cicero",Drama
V for Vendetta,2006,James McTeigue,"Natalie Portman,Hugo Weaving,Stephen Rea",Thriller
Memento,2000,Christopher Nolan,"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano",Crime
Gladiator,2000,Ridley Scott,"Russell Crowe,Joaquin Phoenix,Connie Nielsen",Action
Donnie Darko,2001,Richard Kelly,"Jake Gyllenhaal,Holmes Osborne,Maggie Gyllenhaal",Sci-Fi
Good Will Hunting,1997,Gus Van Sant,"Matt Damon,Robin Williams,Ben Affleck",Drama
The Hangover,2009,Todd Phillips,"Bradley Cooper,Ed Helms,Zach Galifianakis",Comedy
Gran Torino,2008,Clint Eastwood,"Clint Eastwood,Christopher Carley,Bee Vang",Drama
The Butterfly Effect,2004,Eric Bress,"Ashton Kutcher,Melora Walters,Amy Smart",Sci-Fi
Sin City,2005,Robert Rodriguez,"Jessica Alba,Devon Aoki,Alexis Bledel",Thriller
Snatch,2000,Guy Ritchie,"Benicio Del Toro,Brad Pitt",Crime
Robin Hood,2010,Ridley Scott,"Russell Crowe,Cate Blanchett,Matthew Macfadyen",Action
Beautiful Mind,2001,Ron Howard,"Russell Crowe,Ed Harris,Jennifer Connelly",Biography
Juno,2007,Jason Reitman,"Ellen Page,Michael Cera,Jennifer Garner",Romance
Cinderella Man,2005,Ron Howard,"Russell Crowe,Renee Zellweger,Paul Giamatti",Sport
Meet Joe Black,1998,Martin Brest,"Brad Pitt,Anthony Hopkins,Claire Forlani",Drama
Planet Terror,2007,Robert Rodriguez,"Rose McGowan,Freddy Rodriguez,Josh Brolin",Sci-Fi
Rocky,1976,John G. Avildsen,"Sylvester Stallone,Talia Shire,Burt Young",Sport
Rocky II,1979,Sylvester Stallone,"Sylvester Stallone,Talia Shire,Burt Young",Sport
Rocky III,1982,Sylvester Stallone,"Sylvester Stallone,Talia Shire,Burt Young",Sport
Warrior,2011,Gavin O'Connor,"Tom Hardy,Nick Nolte,Joel Edgerton",Sport
500 Days of Summer,2009,Marc Webb,"Joseph Gordon-Levitt,Zooey Deschanel,Geoffrey Arend",Romance
Sherlock Holmes,2009,Guy Ritchie,"Robert Downey Jr.,Jude Law,Rachel McAdams",Mistery
Pulp Fiction,1994,Quentin Tarantino,"John Travolta,Samuel L. Jackson,Tim Roth",Crime
Inglourious Basterds,2009,Quentin Tarantino,"Brad Pitt,Melanie Laurent,Christoph Waltz",War
