Inception,Christopher Nolan,2010
Into the Wild,Sean Penn,2007
Rounders,John Dahl,1998
V for Vendetta,James McTeigue,2006
Memento,Christopher Nolan,2000
Gladiator,Ridley Scott,2000
Donnie Darko,Richard Kelly,2001
Good Will Hunting,Gus Van Sant,1997
The Hangover,Todd Phillips,2009
Gran Torino,Clint Eastwood,2008
The Butterfly Effect,Eric Bress,2004
Sin City,Robert Rodriguez,2005
Snatch,Guy Ritchie,2000
Robin Hood,Ridley Scott,2010
Beautiful Mind,Ron Howard,2001
Juno,Jason Reitman,2007
Cinderella Man,Ron Howard,2005
Meet Joe Black,Martin Brest,1998
Planet Terror,Robert Rodriguez,2007
Rocky,John G. Avildsen,1976
Rocky II,Sylvester Stallone,1979
Rocky III,Sylvester Stallone,1982
Warrior,Gavin O'Connor,2011
500 Days of Summer,Marc Webb,2009
Sherlock Holmes,Guy Ritchie,2009
Pulp Fiction,Quentin Tarantino,1994
Inglourious Basterds,Quentin Tarantino,2009
